"customer_id","customer_name","segment"
EB-13840,Ellis Ballard,Corporate
TS-21340,Toby Swindell,Consumer
CK-12205,Chloris Kastensmidt,Consumer
BP-11230,Benjamin Patterson,Consumer
RD-19930,Russell D'Ascenzo,Consumer
NR-18550,Nick Radford,Consumer
BC-11125,Becky Castell,Home Office
GM-14695,Greg Maxwell,Corporate
EJ-13720,Ed Jacobs,Consumer
PK-18910,Paul Knutson,Home Office
CR-12580,Clay Rozendal,Home Office
MC-17845,Michael Chen,Consumer
RE-19450,Richard Eichhorn,Consumer
AW-10840,Anthony Witt,Consumer
CC-12475,Cindy Chapman,Consumer
KM-16225,Kalyca Meade,Corporate
EB-13930,Eric Barreto,Consumer
SP-20620,Stefania Perrino,Corporate
NG-18355,Nat Gilpin,Corporate
KN-16390,Katherine Nockton,Corporate
SG-20470,Sheri Gordon,Consumer
RF-19735,Roland Fjeld,Consumer
LW-17215,Luke Weiss,Consumer
MF-17665,Maureen Fritzler,Corporate
EH-14185,Evan Henry,Consumer
RP-19855,Roy Phan,Corporate
AI-10855,Arianne Irving,Consumer
JK-15730,Joe Kamberova,Consumer
CS-12250,Chris Selesnick,Corporate
GH-14665,Greg Hansen,Consumer
DK-13375,Dennis Kane,Consumer
MG-17890,Michael Granlund,Home Office
BP-11050,Barry Pond,Corporate
SV-20785,Stewart Visinsky,Consumer
KC-16675,Kimberly Carter,Corporate
JG-15115,Jack Garza,Consumer
BH-11710,Brosina Hoffman,Consumer
GD-14590,Giulietta Dortch,Corporate
RM-19750,Roland Murray,Consumer
BD-11320,Bill Donatelli,Consumer
DR-12940,Daniel Raglin,Home Office
VG-21790,Vivek Gonzalez,Consumer
JC-15340,Jasper Cacioppo,Consumer
RM-19675,Robert Marley,Home Office
TB-21355,Todd Boyes,Corporate
PC-18745,Pamela Coakley,Corporate
FG-14260,Frank Gastineau,Home Office
PR-18880,Patrick Ryan,Consumer
RB-19330,Randy Bradley,Consumer
CS-12400,Christopher Schild,Home Office
EB-13870,Emily Burns,Consumer
EB-13975,Erica Bern,Corporate
TB-21175,Thomas Boland,Corporate
CS-12175,Charles Sheldon,Corporate
AG-10300,Aleksandra Gannaway,Corporate
JR-15670,Jim Radford,Consumer
DB-13360,Dennis Bolton,Home Office
MM-17920,Michael Moore,Consumer
